*** Start of PDS Session ***
*** Start of Logging Session ***
12:00:00.000000 AM : [Event] 472343:02/13/2024,12:00:00 AM,-81.88416379813899,-28.14843718851670,-10.99,10.80,RTK FIXED
12:00:01.000000 AM : [Event] 472344:02/13/2024,12:00:01 AM,-81.88573427135307,-28.14765451173962,-10.99,10.80,RTK FIXED
12:00:02.000000 AM : [Event] 472345:02/13/2024,12:00:02 AM,-81.88733888528969,-28.14497530562164,-10.99,10.80,RTK FIXED
12:00:03.000000 AM : [Event] 472346:02/13/2024,12:00:03 AM,-81.88750958890029,-28.14377114621048,-10.99,10.80,RTK FIXED
12:00:04.000000 AM : [Event] 472347:02/13/2024,12:00:04 AM,-81.88750958890029,-28.14250676425850,-10.99,10.80,RTK FIXED
12:00:05.000000 AM : [Event] 472348:02/13/2024,12:00:05 AM,-81.88723646312349,-28.14127247224229,-10.99,10.80,RTK FIXED
12:00:06.000000 AM : [Event] 472349:02/13/2024,12:00:06 AM,-81.88655364868266,-28.14033921761708,-10.99,10.80,RTK FIXED
12:00:07.000000 AM : [Event] 472350:02/13/2024,12:00:07 AM,-81.88556356774320,-28.13991774512097,-10.99,10.80,RTK FIXED
12:00:08.000000 AM : [Event] 472351:02/13/2024,12:00:08 AM,-81.88440278319318,-28.13976721882814,-10.99,10.80,RTK FIXED
12:00:09.000000 AM : [Event] 472352:02/13/2024,12:00:09 AM,-81.88337856153120,-28.13964679764084,-10.99,10.80,RTK FIXED
12:00:10.000000 AM : [Event] 472353:02/13/2024,12:00:10 AM,-81.88204707337134,-28.13961669232319,-10.99,10.80,RTK FIXED
12:00:11.000000 AM : [Event] 472354:02/13/2024,12:00:11 AM,-81.88068144448891,-28.13970700825139,-10.99,10.80,RTK FIXED
12:00:12.000000 AM : [Event] 472355:02/13/2024,12:00:12 AM,-81.87900854910862,-28.13982742937038,-10.99,10.80,RTK FIXED
12:00:13.000000 AM : [Event] 472356:02/13/2024,12:00:13 AM,-81.87767706094805,-28.13985753462951,-10.99,10.80,RTK FIXED
12:00:14.000000 AM : [Event] 472357:02/13/2024,12:00:14 AM,-81.87620900990014,-28.14000806079542,-10.99,10.80,RTK FIXED
12:00:15.000000 AM : [Event] 472358:02/13/2024,12:00:15 AM,-81.87556033618112,-28.14094131830568,-10.99,10.80,RTK FIXED
12:00:16.000000 AM : [Event] 472359:02/13/2024,12:00:16 AM,-81.87549205473674,-28.14196488170990,-10.99,10.80,RTK FIXED
12:00:17.000000 AM : [Event] 472360:02/13/2024,12:00:17 AM,-81.87573103979099,-28.14265728670173,-10.99,10.80,RTK FIXED
12:00:18.000000 AM : [Event] 472361:02/13/2024,12:00:18 AM,-81.87610658773396,-28.14325937436077,-10.99,10.80,RTK FIXED
12:00:19.000000 AM : [Event] 472362:02/13/2024,12:00:19 AM,-81.87750635733818,-28.14407218733245,-10.99,10.80,RTK FIXED
12:00:20.000000 AM : [Event] 472363:02/13/2024,12:00:20 AM,-81.87856471972201,-28.14401197917550,-10.99,10.80,RTK FIXED
